Estado Dados,Q(Plantarse),Q(Tirar)
"(6, 100)",0.0,1.0
"(3, 300)",300.0,1296.9872790597308
"(5, 100)",100.00000008154744,1160.679515302194
"(5, 300)",0.0,1.0
"(6, 0)",9.000858288278017e-37,8.865081545825169e-37
"(6, 300)",180.00000000252965,-179.59999345505213
"(2, 300)",300.0,840.6714973303035
"(5, 0)",0.0,1.0
"(4, 100)",100.00000000015719,562.1647779692231
"(5, 50)",50.00165197370474,546.8523242817963
"(6, 3000)",0.0,-1799.5953881040823
"(3, 3250)",3216.8300457868863,2633.575301742661
"(0, 3000)",3000.0,1961.1728441550247
"(4, 150)",150.00000000520916,437.85637944945904
"(4, 0)",0.0,1.0
"(6, 1050)",0.0,1.0
"(2, 1050)",1050.0,194.3842829847324
"(2, 0)",0.0,1.0
"(6, 50)",0.0,1.0
"(2, 200)",200.0,-25.98938281418782
"(1, 250)",250.0,77.02909937464659
"(2, 250)",250.0,451.24310064085785
"(0, 300)",299.99999996628566,528.2365920239164
"(1, 300)",300.0,813.168150283366
"(3, 800)",800.0,226.34063912290725
"(6, 800)",748.8002012261443,-479.562155158696
"(1, 1000)",999.9583842323855,936.793083595663
"(6, 250)",0.0,1.0
"(2, 350)",350.0,1363.347652344999
"(3, 250)",250.0,470.1104634938287
"(3, 350)",0.0,1.0
"(0, 500)",500.0,1486.1834134707472
"(6, 600)",599.8427136000403,-359.5985766597987
"(1, 600)",600.0,340.09729658758874
"(1, 0)",0.0,1.0
"(4, 200)",200.00000000050338,878.211112721634
"(6, 500)",499.99999997748205,-299.5980605908159
"(2, 600)",600.0,949.8784302459231
"(3, 500)",500.0,1412.2574394442922
"(3, 600)",600.0,2055.2516027547094
"(0, 1500)",1500.0,4541.912192490651
"(6, 200)",0.0,1.0
"(3, 200)",200.0,462.87501359903814
"(4, 250)",0.0,1.0
"(4, 350)",0.0,1.0
"(1, 400)",400.0,1193.1582970910674
"(3, 1000)",999.9874921317065,380.55136104814574
"(6, 150)",0.0,1.0
"(1, 450)",450.0,-76.5545927437704
"(0, 550)",550.0,1738.8485624692205
"(3, 550)",549.9999999984148,1.0
"(2, 850)",850.0,1093.9632336476566
"(6, 850)",714.0000000000001,-509.54164047972836
"(1, 950)",949.9999997336602,849.2954592748738
"(2, 950)",949.9999999999993,1424.1476686436408
"(4, 450)",449.9999690765125,1.0
"(6, 350)",327.6,-209.59999999999033
"(5, 200)",0.0,1.0
"(3, 150)",150.0,90.36140671092556
"(1, 650)",650.0,640.2379831615882
"(3, 650)",650.0,169.28187627343527
"(0, 700)",700.0,1151.1095751052455
"(1, 700)",700.0,1174.8018822605418
"(4, 900)",899.962251264,1180.3300045233118
"(6, 900)",540.0,-539.599999570137
"(4, 1000)",936.0000191665013,1392.152541743713
"(1, 1150)",1150.0,889.7881441639977
"(1, 750)",750.0,1703.7294076836586
"(2, 650)",650.0,472.1267826696476
"(2, 750)",750.0,336.2003540965503
"(0, 750)",750.0,993.0565609281147
"(1, 800)",800.0,318.22277382975994
"(2, 700)",700.0,2273.030804435838
"(0, 850)",850.0,1960.1093324792553
"(1, 850)",849.999999999975,523.8618786942387
"(3, 1250)",1050.1908576,-264.3863330410463
"(0, 400)",400.0,1256.482326266827
"(2, 400)",400.0,251.5526527728146
"(3, 700)",700.0,-177.6456448601989
"(6, 750)",0.0,-449.4330970592913
"(0, 800)",800.0,1848.0926474255396
"(1, 550)",550.0,687.6035713670218
"(2, 1100)",1100.0,1579.0279373251815
"(2, 500)",500.0,1494.6087125419226
"(1, 350)",350.0,723.4809876419087
"(1, 2000)",1872.0000000688633,629.860380392126
"(6, 2000)",1200.0,-1199.5999999999647
"(0, 2050)",1230.000002751024,3269.696769897726
"(1, 2050)",1918.8184226088888,2156.539097100648
"(5, 2100)",1965.6,1115.6527289778674
"(6, 2100)",0.0,-1259.6
"(2, 2300)",0.0,-412.50591514715643
"(5, 2300)",0.0,1.0
"(0, 2400)",1440.0000000000066,1269.9664
"(2, 2400)",0.0,-747.9510829337328
"(1, 2900)",1740.477144,2471.0274479157342
"(6, 2900)",0.0,1.0
"(5, 250)",0.0,1.0
"(6, 550)",547.7496801105347,-329.22747031822973
"(6, 400)",399.99982851349984,-239.54170416867794
"(6, 1500)",0.0,-899.4848587048356
"(2, 1950)",1900.2369031413668,2444.8608846725983
"(6, 1150)",1138.224,-689.599999999997
"(6, 700)",420.16690294070867,1.0
"(3, 0)",0.0,1.0
"(4, 400)",398.36160023101974,1.0
"(3, 400)",400.0,221.55343956481374
"(4, 300)",0.0,1.0
"(0, 650)",650.0,1343.0025041229362
"(6, 3250)",0.0,1.0
"(0, 3750)",0.0,210.916
"(3, 4750)",0.0,-893.0935999999999
"(0, 450)",450.0,731.6767292476618
"(2, 450)",450.0,783.9768376559273
"(4, 600)",600.0,1154.4358967856783
"(4, 750)",750.0,2.222582886400005
"(2, 800)",800.0,654.3704482309935
"(5, 800)",799.9161145578237,30.939999999999998
"(1, 1100)",1100.0,-199.1520707950599
"(5, 1100)",0.0,1187.7257866673958
"(5, 450)",450.0,1.0
"(3, 3200)",3118.2548277411597,2609.7506463518234
"(6, 3200)",0.0,1.0
"(0, 900)",900.0,1683.2449469622031
"(5, 950)",925.710537216,1067.042824413078
"(6, 450)",450.0,-269.30914783838875
"(0, 600)",600.0,1374.6590542223744
"(5, 150)",0.0,1.0
"(5, 400)",399.99999999711775,1.0
"(1, 500)",500.0,92.9871654792039
"(1, 1050)",1049.9999999969898,2519.115154433614
"(6, 650)",647.3376000000001,-389.5997322307124
"(6, 1000)",0.0,1.0
"(5, 1050)",0.0,965.6414932230409
"(6, 1100)",0.0,1.0
"(0, 350)",350.0,1693.7880533190487
"(5, 650)",650.0,306.83527484226244
"(2, 550)",550.0,290.4256716259233
"(2, 1000)",999.9580598723655,919.8299324761389
"(0, 1150)",1150.0,1821.3696372415307
"(2, 1150)",1150.0,1696.6690330385043
"(1, 1650)",1649.9998866717683,-262.015630405931
"(6, 1650)",0.0,1.0
"(0, 1750)",1747.1328082425819,1768.523482556422
"(2, 2250)",2248.5254420951487,-332.81016799369104
"(6, 2250)",0.0,-1349.5980605908157
"(1, 2350)",2340.3746414649177,2774.8337275609815
"(2, 2350)",2325.9360020891977,3101.3470693317977
"(4, 1600)",1344.0,1106.7815548018605
"(6, 1600)",0.0,-959.5999606270062
"(1, 2600)",2184.001272643051,1027.3482780681188
"(2, 2200)",2190.9926147115366,-323.8233525912401
"(6, 2200)",0.0,1.0
"(0, 2350)",0.0,1541.379905077848
"(5, 2450)",0.0,60.94
"(6, 2450)",0.0,1.0
"(2, 2700)",2527.2717624576,2171.3450586728222
"(5, 2700)",0.0,60.94
"(3, 1100)",1098.202238915786,1321.6252861490393
"(5, 1550)",0.0,872.143599851561
"(6, 1550)",0.0,1.0
"(2, 1800)",1754.1545748485082,2070.449855948317
"(5, 1800)",0.0,1574.4315154177193
"(4, 950)",949.984084049024,1391.6149227061019
"(6, 950)",0.0,-569.6
"(4, 1100)",0.0,1520.4502945431705
"(0, 1250)",1250.0,2974.154516689874
