Estado Dados,Q(Plantarse),Q(Tirar)
"(2, 350)",350.0,-172.75309513603167
"(4, 200)",200.0,-102.43971812803017
"(6, 0)",2.5e-323,2.5e-323
"(1, 500)",500.0,-247.23576064000008
"(2, 400)",400.0,-108.46035445327448
"(0, 1500)",1500.3358126215753,3103.6423483635854
"(1, 2650)",2650.0,1.0
"(2, 600)",600.0,-296.787615618985
"(2, 450)",450.0,-222.83813120000002
"(1, 750)",750.0,-276.582351677456
"(1, 0)",0.0,1.0
"(5, 100)",100.0,54.76614034647571
"(1, 550)",550.0,500.86735185919997
"(3, 200)",200.0,-101.23760517140317
"(3, 0)",0.0,1.0
"(3, 250)",250.0,-125.47793439423737
"(4, 150)",150.0,-1.0599177633516774
"(2, 1100)",1100.0,708.1008000000002
"(3, 1000)",1000.0,-441.6994897671948
"(2, 0)",0.0,1.0
"(2, 300)",300.0,-153.61702058088792
"(0, 450)",450.0,176.18400000000003
"(1, 1850)",1850.0,1.0
"(1, 800)",800.0,-511.096
"(1, 450)",450.0,316.05325407436806
"(3, 500)",500.0,-136.00763580814692
"(2, 550)",550.0,-423.75072
"(1, 650)",650.0,80.92000000000002
"(3, 150)",0.0,88.90400000000001
"(4, 100)",100.0,-26.33644892530276
"(1, 300)",300.0,-191.78781440000006
"(2, 1050)",1050.0,-540.5662680151163
"(5, 50)",50.0,39.21026911602789
"(2, 200)",0.0,40.92
"(0, 300)",240.6624,1.0
"(1, 400)",400.0,-188.5750144000001
"(2, 250)",250.0,-80.32900513623633
"(0, 800)",0.0,3232.693779787355
"(1, 700)",700.0,-381.6085531779072
"(4, 900)",900.0,-502.780234069666
"(3, 400)",400.0,-105.95683841005189
"(3, 300)",300.0,-131.71543334323144
"(4, 1650)",1650.0,-993.107368220928
"(2, 1800)",1800.0,1.0
"(1, 1100)",1100.0,-439.6609448959998
"(0, 1150)",0.0,2035.0173425462622
"(3, 1350)",1350.0,-730.3224514964074
"(2, 1400)",1400.0,-1015.7507200000001
"(0, 1550)",0.0,2190.9535152842836
