Episodio,Turno,Dados,Puntaje de Tirada,Puntaje Total,Acción
1,0,"[1, 6, 3, 4, 5, 6]",0,0,Plantarse
2,0,"[3, 2, 6, 4, 1, 2]",0,0,Plantarse
3,0,"[4, 1, 3, 3, 2, 5]",0,0,Plantarse
4,0,"[1, 1, 2, 2, 3, 1]",0,0,Plantarse
5,0,"[6, 5, 3, 4, 3, 3]",0,0,Plantarse
6,0,"[3, 2, 4, 3, 3, 2]",0,0,Plantarse
7,0,"[5, 4, 5, 3, 4, 3]",0,0,Plantarse
8,0,"[4, 3, 4, 2, 6, 1]",0,0,Plantarse
9,0,"[4, 2, 5, 4, 4, 2]",0,0,Plantarse
10,0,"[2, 6, 2, 2, 2, 3]",0,0,Plantarse
11,0,"[5, 1, 1, 2, 2, 2]",0,0,Plantarse
12,0,"[3, 6, 4, 2, 6, 5]",0,0,Plantarse
13,0,"[5, 1, 2, 3, 4, 5]",0,0,Plantarse
14,0,"[5, 4, 5, 2, 4, 1]",0,0,Plantarse
15,0,"[6, 2, 1, 4, 1, 6]",0,0,Plantarse
16,0,"[5, 4, 1, 6, 6, 2]",0,0,Plantarse
17,0,"[6, 6, 4, 3, 3, 5]",0,0,Plantarse
18,0,"[3, 4, 4, 2, 2, 5]",0,0,Plantarse
19,0,"[2, 4, 2, 2, 4, 4]",0,0,Plantarse
20,0,"[4, 2, 2, 6, 5, 6]",0,0,Plantarse
21,0,"[1, 4, 6, 5, 1, 4]",0,0,Plantarse
22,0,"[2, 6, 3, 4, 1, 4]",0,0,Plantarse
23,0,"[5, 6, 5, 3, 5, 6]",0,0,Plantarse
24,0,"[1, 1, 4, 4, 1, 6]",0,0,Plantarse
25,0,"[4, 5, 6, 4, 2, 3]",0,0,Plantarse
26,0,"[3, 6, 6, 4, 2, 5]",0,0,Plantarse
27,0,"[1, 3, 2, 3, 2, 6]",0,0,Plantarse
28,0,"[4, 4, 3, 1, 4, 4]",0,0,Plantarse
29,0,"[5, 6, 5, 3, 1, 1]",0,0,Plantarse
30,0,"[3, 5, 6, 1, 1, 6]",0,0,Plantarse
31,0,"[2, 1, 1, 2, 1, 1]",0,0,Plantarse
32,0,"[3, 1, 3, 1, 4, 3]",0,0,Plantarse
33,0,"[3, 1, 3, 2, 2, 6]",0,0,Plantarse
34,0,"[1, 3, 1, 3, 5, 2]",0,0,Plantarse
35,0,"[2, 5, 4, 5, 5, 6]",0,0,Plantarse
36,0,"[4, 2, 1, 1, 4, 3]",0,0,Plantarse
37,0,"[6, 3, 5, 4, 4, 4]",0,0,Plantarse
38,0,"[1, 2, 2, 6, 6, 3]",0,0,Plantarse
39,0,"[5, 3, 5, 4, 4, 4]",0,0,Plantarse
40,0,"[2, 6, 1, 4, 5, 5]",0,0,Plantarse
41,0,"[1, 3, 5, 1, 2]",0,0,Plantarse
42,0,"[5, 1, 4, 5, 3, 2]",0,0,Plantarse
43,0,"[5, 6, 1, 5, 3, 1]",0,0,Plantarse
44,0,"[5, 6, 5, 4, 4, 5]",0,0,Plantarse
45,0,"[6, 3, 6, 2, 5, 1]",0,0,Plantarse
46,0,"[2, 5, 1, 3, 3, 3]",0,0,Plantarse
47,0,"[6, 6, 3, 3, 5, 6]",0,0,Plantarse
48,0,"[6, 2, 3, 6, 1, 1]",0,0,Plantarse
49,0,"[6, 1, 5, 1, 5, 1]",0,0,Plantarse
50,0,"[2, 3, 2, 5, 4, 3]",0,0,Plantarse
51,0,"[4, 1, 6, 4, 3, 3]",0,0,Plantarse
52,0,"[2, 3, 3, 5, 2, 2]",0,0,Plantarse
53,0,"[3, 3, 5, 3, 2, 6]",0,0,Plantarse
54,0,"[6, 6, 5, 3, 2, 3]",0,0,Plantarse
55,0,"[2, 1, 1, 2, 1, 5]",0,0,Plantarse
56,0,"[3, 1, 3, 3, 3, 2]",0,0,Plantarse
57,0,"[4, 4, 5, 3, 4, 6]",0,0,Plantarse
58,0,"[5, 4, 3, 6, 3, 5]",0,0,Plantarse
59,0,"[1, 1, 3, 2, 5, 4]",0,0,Plantarse
60,0,"[3, 1, 5, 4, 4, 3]",0,0,Plantarse
61,0,"[1, 5, 2, 3, 2, 3]",0,0,Plantarse
62,0,"[1, 3, 1]",0,0,Plantarse
63,0,"[6, 6, 6, 2, 6, 6]",0,0,Plantarse
64,0,"[1, 3, 5, 5, 5, 4]",0,0,Plantarse
65,0,"[3, 4, 1, 1, 1, 6]",0,0,Plantarse
66,0,"[1, 4, 5, 5, 5, 2]",0,0,Plantarse
67,0,"[1, 3, 6, 6, 6, 6]",0,0,Plantarse
68,0,"[5, 6, 2, 1, 4, 3]",0,0,Plantarse
69,0,"[6, 2, 4, 1, 1, 3]",0,0,Plantarse
70,0,"[6, 1, 2]",0,0,Plantarse
71,0,"[2, 5, 6, 3, 1, 5]",0,0,Plantarse
72,0,"[5, 5, 3, 2, 5, 4]",0,0,Plantarse
73,0,"[1, 3, 5, 5, 5, 4]",0,0,Plantarse
74,0,"[5, 5, 5, 5, 1, 2]",0,0,Plantarse
75,0,"[2, 6, 2, 5, 5, 2]",0,0,Plantarse
76,0,"[2, 2, 1, 1, 2, 5]",0,0,Plantarse
77,0,[],0,0,Plantarse
78,0,"[4, 4, 1, 4, 6, 3]",0,0,Plantarse
79,0,"[1, 4, 2, 1, 4, 1]",0,0,Plantarse
80,0,"[4, 2, 3, 1, 2, 4]",0,0,Plantarse
81,0,"[2, 1, 1, 1, 2, 5]",0,0,Plantarse
82,0,"[3, 4, 5, 4]",0,0,Plantarse
83,0,"[2, 1, 3, 5, 4, 2]",0,0,Plantarse
84,0,"[3, 4, 4, 3, 3, 2]",0,0,Plantarse
85,0,"[5, 1, 6, 3, 1, 2]",0,0,Plantarse
86,0,"[1, 6, 1, 1, 1]",0,0,Plantarse
87,0,"[4, 6, 4, 5, 5, 3]",0,0,Plantarse
88,0,"[2, 3, 2, 2, 3, 2]",0,0,Plantarse
89,0,"[2, 1, 5, 3, 5, 4]",0,0,Plantarse
90,0,"[6, 5, 2, 6, 1, 4]",0,0,Plantarse
91,0,"[4, 6, 3, 1, 3, 6]",0,0,Plantarse
92,0,"[6, 2, 6, 3, 5, 3]",0,0,Plantarse
