Estado Dados,Q(Plantarse),Q(Tirar)
"(6, 200)",0.0,1.0
"(2, 300)",300.0,1040.2536199036767
"(3, 200)",200.0,474.07566966457335
"(2, 0)",0.0,1.0
"(0, 3500)",2100.0,5997.703353504212
"(0, 3000)",3000.0,1713.9257424984032
"(6, 3500)",0.0,1.0
"(5, 3600)",0.0,3424.779031061751
"(6, 3600)",0.0,1.0
"(4, 3650)",3649.99998394713,2663.7804807217253
"(5, 3650)",3649.0431743999998,600.3061950321062
"(2, 3850)",3849.999735480017,3473.42496534913
"(4, 3850)",2310.0,2907.408962566522
"(0, 600)",600.0,1299.7044067487054
"(4, 200)",200.0,577.3238736700232
"(4, 600)",600.0,610.2614389926413
"(5, 700)",700.0,60.94
"(0, 1800)",1800.0,941.2396123191579
"(3, 2200)",2199.4234739980166,-351.6189378444856
"(6, 2200)",0.0,-1319.6
"(2, 2300)",2299.903531008101,3129.5434934863392
"(3, 2300)",1380.0,-48.302887418590046
"(6, 150)",0.0,1.0
"(1, 1150)",1150.0,-3.674686829139091
"(4, 150)",150.0,533.8553490642729
"(4, 1150)",1149.951765504004,-665.0840000000001
"(0, 1250)",1250.0,2562.17380380028
"(5, 1350)",1349.115264,1428.7189613053981
"(6, 1350)",0.0,-809.6
"(3, 1550)",1548.9841976937544,2032.464600538323
"(2, 1600)",1600.0,1023.1576201056989
"(6, 0)",2.5e-323,2.5e-323
"(3, 250)",250.0,71.542056496876
"(3, 300)",300.0,468.59010946615524
"(1, 350)",350.0,655.9644745557764
"(1, 0)",0.0,1.0
"(6, 400)",400.0,-239.5824752653075
"(1, 500)",500.0,-86.79011247894607
"(2, 400)",400.0,605.3469094981948
"(6, 800)",799.4757864608249,-479.51540502008606
"(1, 800)",800.0,831.3513347595981
"(6, 50)",0.0,1.0
"(5, 50)",50.00000009575428,332.92378327156905
"(5, 100)",100.00000000089855,255.4151640567416
"(6, 300)",292.32,-179.6
"(1, 1100)",1100.0,-198.63226750357967
"(5, 1100)",660.0,188.493206464
"(3, 0)",0.0,1.0
"(6, 1500)",1260.1163408646444,1.0
"(5, 1600)",1344.0,84.376
"(0, 1500)",1500.0,2977.8828181541894
"(6, 1600)",0.0,-959.5911272582426
"(0, 1950)",1950.0,1739.4259887548042
"(6, 250)",0.0,1.0
"(2, 250)",250.0,4.38501595475924
"(2, 600)",600.0,667.2171338473514
"(1, 1950)",1949.9998660355268,2714.7882824186167
"(6, 1950)",0.0,-1169.6
"(0, 2000)",2000.0,2353.94151879615
"(1, 2000)",1999.9999912039516,1175.196879208989
"(6, 100)",0.0,1.0
"(4, 100)",100.0,716.1723167144721
"(1, 450)",450.0,423.5982606376773
"(5, 200)",0.0,1.0
