Estado Dados,Q(Plantarse),Q(Tirar)
"(6, 150)",0.0,1.0
"(2, 300)",300.7039971832641,294.00536467737385
"(4, 150)",150.6734151572736,423.4143359170345
"(6, 0)",0.6246444384000002,0.7807489600000002
"(6, 200)",0.0,1.0
"(2, 350)",328.2874105824,361.0367891520361
"(4, 200)",120.4216044384,151.87088779364024
"(3, 200)",200.58148550976,466.9763113768895
"(3, 300)",180.47714399999998,49.26877552356143
"(2, 0)",0.0,1.0
"(3, 1000)",840.693144,1495.88759044096
"(6, 250)",0.0,1.0
"(3, 250)",250.70083874242007,542.3368971926451
"(3, 0)",0.0,1.0
"(1, 400)",400.66118509204375,222.3328934842691
"(1, 0)",0.0,1.0
"(1, 500)",300.47714399999995,173.37789888025605
"(4, 500)",0.0,408.280720864
"(2, 1050)",1039.9737376224,79.80099720140834
"(2, 3650)",2190.54,1.0
"(0, 3000)",0.0,2808.9064000000003
"(6, 100)",0.0,1.0
"(4, 100)",60.54,364.8312023362088
"(4, 300)",0.0,1.0
"(1, 350)",350.66324222991364,381.4168611529581
"(0, 450)",446.1390166464,183.9664
"(6, 450)",0.0,-269.06
"(1, 750)",630.66451536,-152.79296
"(0, 1500)",1500.6877340927476,735.5410240000001
"(2, 500)",300.53999999999996,49.60037883159055
"(0, 500)",499.97563818239996,1.0
"(6, 50)",0.0,1.0
"(5, 50)",50.6459271648,450.9686156204976
"(6, 600)",0.0,1.0
"(1, 700)",588.6680016,516.539625664
"(2, 600)",504.6124620384,-73.78525720193022
"(2, 700)",420.4216044384,1.0
"(0, 750)",702.6874105824,60.94
"(2, 250)",250.6866639150336,223.16361869877673
"(1, 300)",300.2124782889216,228.05754197912015
"(4, 0)",0.0,1.0
"(6, 350)",0.0,1.0
"(2, 400)",240.47714399999998,-53.052936896000006
"(4, 1650)",990.54,1.0
"(6, 1000)",0.0,1.0
"(6, 1100)",0.0,1.0
"(2, 1100)",924.6124620383998,-212.89961043252242
"(3, 350)",0.0,1.0
"(1, 450)",448.90870260096,244.08148572976637
"(4, 550)",0.0,212.01664
"(6, 550)",0.0,1.0
"(4, 750)",0.0,1.0
"(0, 800)",672.63937296,521.1664000000001
"(1, 800)",0.0,1.0
"(3, 1400)",840.5076,1.0
"(6, 1150)",0.0,1.0
"(1, 1150)",690.4216044383999,6.622033024000018
"(6, 300)",0.0,1.0
"(6, 1500)",900.477144,1.0
"(3, 1700)",0.0,120.94
"(6, 1700)",0.0,1.0
"(2, 1750)",0.0,30.939999999999998
"(3, 1750)",0.0,1.0
"(0, 1850)",0.0,60.94
"(4, 2000)",1200.477144,1.0
"(3, 400)",240.47714399999998,594.402855110656
"(2, 2050)",0.0,191.70640000000003
"(6, 2050)",0.0,1.0
"(6, 400)",0.0,1.0
"(1, 1100)",0.0,-654.5134399999998
"(4, 1100)",0.0,1.0
"(5, 100)",84.6680016,135.0497156867703
"(0, 400)",390.45712646976,247.150045696
"(2, 1450)",0.0,630.94
"(6, 1450)",0.0,1.0
"(1, 1500)",0.0,-887.0840000000001
"(2, 1500)",0.0,-793.7134399999998
"(5, 150)",0.0,1.0
"(4, 1150)",0.0,1.0
"(0, 1250)",750.4216044383999,60.94
"(1, 1250)",0.0,-629.0839999999998
"(3, 2500)",0.0,600.9399999999999
"(6, 2500)",0.0,1.0
"(0, 3100)",0.0,360.94
"(3, 3100)",0.0,1.0
"(0, 4600)",0.0,900.94
"(6, 4600)",0.0,1.0
"(4, 4700)",0.0,60.94
"(6, 4700)",0.0,1.0
"(3, 4800)",0.0,60.94
"(4, 4800)",0.0,1.0
"(2, 4850)",0.0,30.939999999999998
"(3, 4850)",0.0,1.0
"(0, 5000)",3000.477144,1.0
"(2, 200)",0.0,60.94
"(1, 250)",150.477144,1.0
"(1, 650)",609.0773536224,-52.00066308698615
"(2, 650)",0.0,565.9595076160001
"(0, 700)",655.915716,96.916
"(3, 1250)",0.0,1030.1513824
"(0, 850)",0.0,510.93999999999994
"(4, 650)",0.0,1.0
"(2, 800)",0.0,1.0
"(5, 900)",0.0,568.481464
"(1, 1200)",0.0,-671.0840000000001
"(3, 1200)",0.0,1.0
"(3, 150)",0.0,-7.079961386240001
"(5, 0)",0.0,1.0
"(6, 500)",0.0,1.0
"(4, 250)",0.0,1.0
"(3, 450)",0.0,1.0
"(0, 550)",330.477144,216.12937599999998
"(1, 550)",0.0,95.23921984000003
"(2, 900)",0.0,-448.14656
