Estado Dados,Q(Plantarse),Q(Tirar)
"(6, 0)",2.333899379512914e-64,2.2927248796351284e-64
"(6, 200)",200.00000000076147,405.61821561596287
"(4, 100)",100.0,-96.53743999999999
"(6, 100)",100.00000010055138,475.7180975610511
"(4, 0)",0.0,1.0
"(6, 3000)",3000.0,2520.916
"(6, 150)",150.00000066745474,493.9147010576257
"(6, 1100)",1100.0,-59.248907091378214
"(2, 1150)",1150.0,695.947899021234
"(1, 1200)",1200.0,1.0
"(6, 600)",600.0,-19.404673875386607
"(3, 700)",700.0,194.4201579347543
"(2, 750)",750.0,723.8116057425433
"(1, 750)",750.0,-449.06
"(1, 0)",0.0,1.0
"(4, 250)",250.0000002599305,411.93132619202015
"(2, 250)",250.0,-242.69744
"(2, 0)",0.0,1.0
"(3, 300)",300.0,273.4435333180799
"(6, 300)",300.0000156179419,577.8793852670616
"(3, 0)",0.0,1.0
"(6, 1000)",1000.0,1953.0265400283602
"(4, 200)",200.0,-20.493537053336638
"(6, 500)",500.0,1096.9682731035116
"(3, 600)",600.0,-493.4936
"(6, 650)",650.0,-26.69048046407306
"(1, 600)",600.0,-83.084
"(3, 350)",350.0,321.33352406484096
"(6, 1500)",1500.0,780.6836907623549
"(0, 2000)",0.0,1.0
"(6, 2000)",2000.0,1132.7140365572338
"(0, 2050)",0.0,1.0
"(5, 2150)",0.0,60.94
"(6, 2050)",0.0,279.6005663820709
"(4, 2350)",0.0,748.4941600000001
"(2, 2500)",2100.000000003002,-1460.6936
"(0, 3100)",0.0,1.0
"(6, 3100)",2901.646536345858,360.94
"(1, 3150)",0.0,-1877.0839999999998
"(0, 3800)",0.0,1.0
"(1, 3850)",0.0,30.939999999999998
"(6, 3800)",0.0,640.852624
"(0, 4100)",0.0,1.0
"(6, 4100)",4099.570268845583,1.0
"(6, 350)",350.0,718.6336199958598
"(1, 400)",400.0,-5.002976000000018
"(6, 400)",400.0,881.9385492245831
"(6, 50)",50.00000469400369,1340.6043077182162
"(5, 150)",149.90388808246183,311.8230699440608
"(4, 300)",299.99999949997255,482.25746975218885
"(2, 350)",350.0,-78.89479832615069
"(1, 450)",450.0,-116.85767527424002
"(0, 550)",0.0,1.0
"(6, 550)",550.0,-17.03335547150084
"(5, 800)",0.0,1329.9843805529842
"(2, 800)",800.0,540.376055542396
"(6, 1050)",1050.007217263419,2025.5641443077116
"(1, 1150)",1150.0,-689.06
"(6, 450)",450.0,-24.418575143625162
"(2, 500)",500.0,-452.65091528693085
"(1, 500)",500.0,-413.338976
"(6, 250)",250.0000004481937,604.4081962754374
"(2, 700)",700.0,203.16639999999995
"(6, 700)",700.0,-22.41576622847174
"(2, 400)",400.0,188.22652600901773
"(2, 300)",300.0,-128.0953553692691
"(3, 250)",250.0,-72.96002987603742
"(3, 450)",450.0,382.2956447697471
"(1, 550)",550.0,-39.16039040000001
"(0, 1050)",0.0,1.0
"(3, 1150)",1150.0,750.8299838694908
"(5, 50)",50.0,-41.084
"(4, 350)",350.0,611.0462073319749
"(1, 350)",350.0,-348.52639616000005
"(5, 200)",199.98615830092382,540.3427941815289
"(2, 450)",450.0,243.25118330075463
"(2, 600)",600.0,-86.95908352366052
"(5, 1100)",0.0,2028.8332232934242
"(3, 650)",650.0,409.59322666571745
"(1, 650)",650.0,-545.0840000000001
"(0, 1900)",0.0,1.0
"(6, 1900)",0.0,2003.9703674593052
"(0, 4900)",0.0,1.0
"(6, 4900)",0.0,1800.94
"(0, 5450)",0.0,1.0
"(6, 5450)",0.0,330.94
"(1, 5450)",0.0,-3269.06
"(2, 900)",899.99999606797,-464.21744
"(0, 1400)",0.0,1.0
"(6, 1400)",1400.0,-455.35949600000004
"(3, 1600)",0.0,604.7365667972376
"(1, 1600)",1497.6,-959.06
"(4, 150)",150.0,-139.08779065858343
"(3, 500)",500.0,-409.58000000000004
"(3, 400)",400.0,350.5933595068426
"(1, 800)",800.0,-126.29360000000003
"(6, 750)",750.0,1453.9622610539948
"(0, 1450)",0.0,1.0
"(2, 1450)",1449.996112087083,-869.06
"(6, 1450)",0.0,1154.3295783455483
"(0, 600)",0.0,1.0
"(4, 800)",800.0,1.0
"(5, 250)",249.59940663635072,505.34611296220544
"(3, 1050)",1050.0,878.1564715598518
"(2, 1050)",1050.0,-981.8935999999999
"(6, 800)",800.0,127.82749320219955
"(5, 650)",0.0,1184.523278481406
"(2, 650)",650.0,-65.084
"(5, 500)",0.0,819.8122996829607
"(4, 400)",400.0,396.25362652788885
"(4, 600)",600.0,-170.98792542628888
"(0, 900)",0.0,1.0
"(6, 900)",900.0,78.916
"(3, 900)",900.0,161.977456
"(1, 700)",700.0,-395.08399999999995
"(0, 1300)",0.0,1.0
"(6, 1300)",1300.0,1.0
"(0, 1650)",0.0,1.0
"(6, 1650)",0.0,2271.047363686701
"(4, 2050)",0.0,240.93999999999997
"(0, 2350)",0.0,1.0
"(3, 2450)",2293.200000017995,-1445.0839999999998
"(6, 2350)",0.0,1945.224345186304
"(1, 2450)",2293.2,-1469.06
"(3, 200)",200.0,-199.0966428790784
"(5, 100)",100.0,94.96675039037859
"(0, 1700)",0.0,1.0
"(3, 1700)",1656.4800000135715,-1019.06
"(6, 1700)",0.0,1674.9764055851936
"(5, 350)",327.6066276211136,692.667582309102
"(5, 450)",450.0,60.03594762668956
"(0, 1750)",0.0,1.0
"(3, 1850)",0.0,1790.0823892988874
"(6, 1750)",0.0,1733.3708162111982
"(2, 2050)",0.0,168.916
"(0, 2450)",0.0,1.0
"(6, 2450)",0.0,788.1436096
"(1, 2550)",2142.0,-1505.0839999999998
"(0, 2650)",0.0,1.0
"(6, 2650)",0.0,1320.71793664
"(4, 2750)",0.0,60.94
"(3, 2850)",1710.4216044384,1.0
"(2, 2150)",0.0,-1255.4936
"(0, 2300)",0.0,1.0
"(6, 2300)",2299.999999998946,480.93999999999994
"(2, 550)",550.0,198.04298574355585
"(3, 850)",850.0,-300.7018718814687
"(5, 1000)",0.0,1201.7916240529362
"(4, 1250)",0.0,1055.7229929622338
"(1, 1250)",1250.0,-749.06
"(3, 1200)",1200.0,600.9399999999999
"(0, 2100)",0.0,1.0
"(6, 2100)",2099.994362855424,1102.5064
"(3, 2200)",1320.0,-1295.0839999999998
"(2, 2250)",2106.0000933643305,-1337.0839999999998
"(1, 2250)",1350.201166028156,-1349.06
"(3, 1800)",1799.9880073535242,-1067.0839999999998
"(2, 1800)",1799.5283790469477,-1079.06
"(3, 1250)",1250.0,806.6150660608
"(5, 300)",252.22490868851833,505.09517914956785
"(0, 1800)",0.0,1.0
"(6, 1800)",0.0,2525.380822324778
"(3, 2000)",0.0,1000.8988723198617
"(1, 2000)",1948.814571311308,-1199.06
"(1, 300)",300.0,-251.084
"(1, 850)",850.0,60.94
"(0, 1100)",0.0,1.0
"(4, 750)",0.0,792.6465469955156
"(5, 700)",0.0,1256.8309186846895
"(4, 1150)",690.2734010319147,1446.5719787824105
"(5, 0)",0.0,1.0
"(0, 1950)",0.0,1.0
"(6, 1950)",1949.9999994519474,1.0
