Estado Dados,Q(Plantarse),Q(Tirar)
"(1, 2, 4, 4, 6, 6)",2.3120868833867854,27.18468411666174
"(3, 3, 3, 4, 6, 6)",39.99998570308246,0.6572414341621302
"(1, 2, 2, 2, 4, 6)",29.999999999991697,-0.19
"(1, 2, 2, 2, 4, 4)",29.999970110831992,-0.1
"(1, 2, 3, 3, 4, 6)",6.181561321551717,18.979694971222635
"(3, 3, 3, 4, 5, 6)",29.999999999989743,-0.271
"(1, 1, 2, 2, 4, 4)",0.0,-0.40951000000000004
"(1, 1, 1, 4, 5, 6)",69.99999999997507,-0.1
"(1, 2, 3, 4, 6, 6)",4.507922550488984,24.030268756606382
"(2, 3, 4, 4, 4, 6)",39.99999999991814,0.0
"(1, 2, 3, 4, 4, 5)",1.106194880822182,12.653022908950224
"(1, 2, 5, 5, 6, 6)",-0.06706379129348466,4.342488410220939
"(1, 1, 1, 3, 3, 4)",79.99990448995368,0.0
"(1, 3, 4, 4, 4, 5)",29.999999999989218,-0.34390000000000004
"(2, 3, 4, 4, 5, 6)",3.6602509040606273,20.470225081094732
"(3, 3, 3, 5, 6)",29.632433021374165,0.0
"(3, 3, 4, 4, 5, 6)",1.090386381052167,23.219487437474967
"(2, 2, 2, 4, 4, 5)",29.999963821952143,0.0
"(1, 1, 1, 5, 5, 5)",47.88751342366601,0.0
"(1, 3, 4, 4, 5, 5)",0.18126181361568566,4.684595625616651
"(1, 2, 3, 5, 6, 6)",4.593035318858468,13.559621451267107
"(1, 3, 3, 3, 4, 6)",29.99999999998451,-0.271
"(1, 1, 2, 2, 4, 5)",-0.17006112353629096,6.687670908014096
"(1, 2, 2, 3, 6, 6)",2.3086995813421964,23.885706456541303
"(2, 4, 5)",0.0,-0.19140048999999998
"(1, 1, 2, 2, 3, 3)",0.0,0.0
"(1, 1, 1, 3, 4, 6)",79.99999999990389,0.1
"(1, 2, 2, 5, 5, 5)",29.99997918478833,-0.19
"(2, 3, 4, 4, 5, 5)",2.5081086520196765,17.229774523378506
"(4, 4, 4, 6, 6, 6)",29.664221225419848,-0.1
"(1, 2, 3, 4, 4, 6)",4.291575239614791,18.66608028432618
"(1, 1, 2, 3, 5, 5)",0.0,-0.46855900000000006
"(3, 4, 4, 5, 5, 6)",0.9173245614100802,11.421920992915107
"(1, 1, 2, 3, 4, 4)",2.3864626842431567,17.058478860237564
"(1, 2, 2, 4, 4, 6)",3.5843675164151803,20.168139386910738
"(1, 1, 2, 5, 5)",0.0,-0.1
"(1, 1, 2, 4, 5, 6)",-0.011586392167752133,1.1196103958827706
"(1, 3, 3, 4, 6, 6)",1.2723264001090975,25.247178603226857
"(1, 1, 1, 1, 6, 6)",95.94839520334591,0.0
"(1, 1, 2, 3, 5, 6)",-0.06785170572880048,2.0717064980942155
"(1, 2, 2, 3, 3, 4)",0.8577798501032564,21.152178442787214
"(1, 1, 2, 5, 5, 6)",0.0,-0.271
"(1, 1, 2, 3, 3, 4)",4.052151846226732,13.985295092948142
"(3, 4, 4, 4, 5, 6)",29.999999999966743,-0.34390000000000004
"(1, 1, 1, 2, 5, 6)",69.99999999996527,-0.1
"(2, 2, 3, 3, 4, 6)",0.0,-1.0317
"(1, 2, 2, 4, 4, 5)",2.891946240701464,16.624768163886312
"(2, 3, 5, 5, 5, 6)",39.99999999996851,0.34390000000000004
"(3, 3, 5, 5, 6, 6)",0.0,-0.1
"(1, 2, 3, 3, 6, 6)",2.0389422604389926,18.489867496884905
"(1, 1, 3, 4, 4, 4)",29.999970409723673,-0.19
"(1, 1, 3, 3, 4, 4)",0.0,-0.1
"(1, 2, 2, 4, 5, 5)",-0.11881589091862736,7.550832152395875
"(1, 1, 2, 3, 4, 5)",0.013278787511559371,1.5198816424481607
"(1, 2, 2, 3)",0.29190698467194776,1.804270125568987
"(1, 1, 3, 4, 5, 5)",0.0,-0.6125795110000001
"(1, 1, 4, 5, 6, 6)",-0.10619068391291764,1.1746427814152338
"(2, 2, 5, 5, 5, 6)",39.99998794851067,0.19
"(1, 1, 2, 2, 5, 5)",0.0,-0.1
"(1, 1, 1, 1, 2, 3)",99.90927423591262,0.0
"(1, 3, 4, 5, 5, 6)",0.1276554072629294,4.013915189209201
"(3, 4, 5, 5, 6)",-0.13131875999999998,6.7907481813466966
"(2, 6, 6)",0.0,-1.2285300000000001
"(1, 2, 4, 5, 6, 6)",3.8107773396815796,15.810600751772194
"(1, 3, 4, 5, 6, 6)",4.521524842070089,12.25781249803566
"(1, 2, 2, 5, 6)",-0.35290000000000005,2.5571433252110114
"(1, 1, 1, 2, 5, 5)",69.99994465223509,-0.19
"(1, 2, 3, 3, 4, 4)",3.7760360271715725,19.13701157764916
"(2, 2, 2, 3, 5, 5)",29.99997833094094,-0.1
"(2, 2, 2, 4, 5, 5)",29.999976279529346,-0.1
"(2, 3, 5, 6, 6, 6)",29.999999999976374,-0.271
"(1, 1, 6)",0.0,-0.46855900000000006
"(3, 3, 4, 6, 6, 6)",39.99995637496269,0.271
"(1, 4, 4, 4, 5, 6)",29.999999999951275,-0.19
"(1, 1, 2, 2, 3, 6)",2.4763285190487436,15.194219958769917
"(1, 1, 1, 4, 6, 6)",79.99996211328428,0.1
"(2, 2, 3, 3, 4, 5)",2.6271562515465616,23.32183644371846
"(2, 3, 3, 3, 3, 5)",99.90459861898984,-0.1
"(1, 1, 3, 3, 4, 5)",-0.1760916480182903,1.0079446390399558
"(1, 1, 4, 6, 6, 6)",29.999961573222887,-0.1
"(2, 2, 3, 4, 5, 6)",4.500585996053681,22.54254754164358
"(2, 3, 3, 6, 6, 6)",39.99996431877934,0.1
"(1, 1, 2, 3, 6, 6)",2.3013675668807663,12.607293175883083
"(1, 1, 1, 2, 4, 5)",69.99999999997043,-0.271
"(2, 5, 6)",0.0,-0.38292834770972317
"(1, 3, 3, 4, 5, 6)",2.757111936694891,12.241109592030112
"(1, 1, 2, 3, 3, 3)",29.999958356003184,-0.19
"(2, 2, 4, 5, 5, 6)",2.103932655137079,12.593275524009425
"(1, 2, 3, 4, 5, 6)",0.0,-0.814697981114816
"(4, 4, 6, 6)",0.0,-0.30000000000000004
"(1, 2, 3, 3, 3, 5)",29.999999999986944,-0.19
"(2, 4, 5, 5, 5, 5)",99.91958205523808,0.0
"(2, 4, 4, 4, 5)",29.687032239651167,0.0
"(1, 2, 2, 3, 4, 5)",1.9414676363489511,13.992606899144356
"(1, 4, 6, 6, 6, 6)",99.87102699357422,0.0
"(1, 3, 6)",0.0,-0.6125795110000001
"(1, 2, 4, 5, 5, 6)",0.39934253843851686,4.000071742427918
"(2, 3, 4, 5, 6, 6)",4.3782058720149655,18.7317669575806
"(1, 1, 3, 3, 4, 6)",2.0243716755011274,11.839082906271496
"(4, 4, 4, 4, 6, 6)",96.84857524931842,0.0
"(2, 2, 4, 4, 5, 5)",0.0,-0.271
"(2, 4, 4, 5, 5, 6)",1.1812669401319524,12.734278907853295
"(1, 3, 3, 5, 6, 6)",1.7938011987187759,15.932274169204684
"(3, 4, 5, 6, 6, 6)",29.999999999986944,-0.1
"(1, 4, 4, 4, 4, 5)",99.89866872809708,0.0
"(1, 2, 3, 5, 5, 6)",0.33813132206417923,5.534669625155968
"(1, 2, 4, 4, 5, 5)",0.07076158495047147,4.09425335782994
"(2, 3, 5)",0.0,-0.40951000000000004
"(3, 3, 4, 5, 6, 6)",2.9053548536761995,18.164757918667988
"(1, 2, 3, 3, 3, 3)",99.92118237233885,0.0
"(1, 3, 4, 4, 6)",0.7992075163932713,13.979696840037331
"(1, 2, 2, 2, 3, 5)",29.999999999936723,-0.34390000000000004
"(3, 3, 4, 4, 4, 5)",29.999964896476342,-0.1
"(1, 1, 3, 3, 6, 6)",0.0,-0.1
"(2, 3, 3, 4, 5, 6)",6.153656431703361,23.39842934746156
"(1, 1, 1, 1, 2, 2)",97.23455852887764,0.0
"(3, 4, 6)",0.0,-2.31369622635117
"(1, 2, 3, 5, 5)",0.0,0.0
"(1, 3, 4, 4, 5, 6)",4.618734962926219,12.170245975292044
"(1, 4, 4, 4, 5, 5)",29.99997675156671,0.0
"(1, 4, 4, 5, 5, 6)",-0.2333991678695556,4.044609291155295
"(2, 3, 3, 3, 4, 6)",39.99999999998056,0.1
"(2, 2, 5, 5, 6, 6)",0.0,-0.1
"(2, 5, 5, 5, 6, 6)",39.999978628518555,0.1
"(1, 3, 3, 3, 6, 6)",29.999976039928633,-0.40951000000000004
"(1, 2, 3, 4, 5, 5)",-0.2504621248254212,4.949972059499853
"(1, 1, 3, 4)",0.0,-0.271
"(1, 2, 5)",0.0,-0.6125795110000001
"(1, 3, 5, 5, 6, 6)",0.005278685842920294,4.502547077262737
"(2, 2, 2, 3, 3, 4)",0.5997881880875053,4.328257059871391
"(1, 1, 2, 4, 4, 5)",-0.09649267699036976,1.0039862229633385
"(2, 3, 3, 3, 3, 6)",109.91502592744224,0.0
"(2, 2, 2, 5, 5, 6)",29.99997555344213,-0.271
"(1, 1, 1, 2, 3, 6)",79.99999999988482,0.40951000000000004
"(2, 4, 6, 6)",0.0,-0.8130000000000001
"(2, 4, 4, 4, 5, 6)",29.999999999986272,-0.271
"(1, 1, 4)",0.0,-0.1
"(2, 3)",0.0,0.0
"(1, 2, 4, 4, 4, 6)",29.99999999998571,-0.19
"(2, 4, 5, 6)",0.16496619329039922,4.965034920346021
"(1, 2, 3, 3, 5, 5)",0.00015166002039244952,4.700814533072437
"(1, 3, 4, 4, 6, 6)",1.4020753303249882,24.791456035084007
"(1, 5, 5, 5)",29.99516823993515,-0.1
"(2, 2, 4, 5)",0.14871765591557168,4.193350160528484
"(1, 1, 2, 2, 5, 6)",-0.09973615442524976,1.964684261160226
"(3, 4, 5, 5)",0.0,-0.24316530596199998
"(2, 3, 3, 4, 4, 6)",0.0,-1.0317
"(2, 2, 3, 4, 5, 5)",3.1360755618548395,11.77883711975592
"(2, 2, 3, 3, 5, 6)",1.0085014880517107,19.939598784712373
"(3, 4, 5, 5, 6, 6)",1.7200721617172796,12.640959346548527
"(1, 2, 2, 3, 3, 6)",0.3505725821071194,13.865012071459832
"(1, 1, 2, 2, 6, 6)",0.0,-0.34390000000000004
"(1, 1, 1, 2, 6, 6)",79.9998855500643,0.1
"(2, 2, 3, 5, 5, 6)",1.2619414013000503,18.338204806514103
"(4, 5, 5, 5, 5, 6)",99.92038623468571,0.0
"(1, 3, 3, 5, 5, 6)",0.039132392172418845,4.000000003491195
"(1, 2, 4, 4, 5, 6)",4.954588690492013,11.137944072611207
"(3, 4, 4, 5)",-0.09323009091844416,3.242838993779444
"(1, 1, 2, 5, 6, 6)",-0.10051975346435844,1.143233390579867
"(1, 1, 2, 2, 6)",-0.1,1.0000046362221213
"(3, 4, 6, 6, 6, 6)",109.93962139850962,0.1
"(3, 4, 4, 5, 6, 6)",2.0255793766320953,23.951392148764498
"(2, 4, 6)",0.0,-1.5651093
"(1, 2, 5, 5, 5, 6)",29.99999999998831,-0.19
"(3, 3, 4, 5, 5, 5)",39.99995548919773,0.19
"(1, 1, 2, 4, 4, 6)",2.140520455233587,12.593564120721137
"(1, 2, 2, 5, 5, 6)",0.004226938028482993,4.641093077713911
"(1, 2, 2, 2, 5, 5)",29.999970110831992,0.0
"(2, 3, 4, 4, 6, 6)",0.0,-1.405677
"(2, 4, 5, 5)",0.0,-0.1
"(1, 1, 1, 2, 4, 6)",79.99999999995786,0.19
"(1, 1, 3)",0.0,-0.40951000000000004
"(1, 2, 2, 3, 5, 6)",1.6127551576836026,23.283834048072872
"(4, 4, 5, 6)",-0.01468900602787089,3.521635806114522
"(1, 6, 6)",0.0,-0.34390000000000004
